bodyAR,bodyDV
[آل عمران: 180][4].,[އާލު ޢިމްރާނު: 180] [4].
[4] أخرجه البخاري، برقم (1338).,[4] މި ޙަދީޘް ނެރުއްވީ އަލް-ބުޚާރީ، ނަމްބަރު 1338 ގައެވެ.
والزكاة تجب في أربعة أصناف: الخارج من الأرض من الحبوب والثمار، والسائمة من بهيمة الأنعام، والذهب والفضة، وعروض التجارة.,އަދި ޒަކާތް ވާޖިބުވަނީ ހަތަރު ބާވަތެއްގައެވެ: ބިމުން ނެރެވޭ އޮށްޓަރާއި މޭވާއާއި، ހުއި ކައިއުޅޭ ނަޢަމް ސޫތްޕާއި، ރަނާއި ރިއްސާއި، އަދި ވިޔަފާރި މުދަލުގައެވެ.
ولكل من هذه الأصناف الأربعة نصاب محدود، لا تجب الزكاة فيما دونه، فنصاب الحبوب والثمار: خمسة أوسق، والوسق: ستون صاعًا بصاع النبي ﷺ، من التمر والزبيب والحنطة والأرز والشعير ونحوها ثلاثمائة صاع بصاع النبي ﷺ، وهو أربع حفنات بيدي الرجل المعتدل الخلقة إذا كانت يداه مملوءتين.,އަދި މި ހަތަރު ބާވަތުން ކޮންމެ އެއްޗަކަށް ވެސް ކަނޑައެޅިގެންވާ ވަކި ނިޞާބެއް ވެއެވެ. އެއަށްވުރެ މަދު އެއްޗެއްގައި ޒަކާތް ވާޖިބެއް ނުވެއެވެ. އެގޮތުން އޮށްޓަރާއި މޭވާގެ ނިޞާބަކީ ފަސް ވަސްޤެވެ. ވަސްޤަކީ ނަބީ ﷺ ގެ ޞާޢުއިން ފަސްދޮޅަސް ޞާޢުއެވެ. އެއީ ކަދުރާއި، ހިކިމޭބިސްކަދުރާއި، ގޮދަނާއި، ހަނޑުލާއި، ހިމަގޮދަނާއި، އެފަދަ ތަކެތިން ނަބީ ﷺ ގެ ޞާޢުއިން ތިންސަތޭކަ ޞާޢުއެވެ. އަދި އެ ޞާޢަކީ މެދުމިނުގެ ހަށިގަނޑެއް ލިބިފައިވާ ފިރިހެނަކު، އޭނާގެ ދެ އަތް ފުރާލައިގެން ނަގާ ހަތަރު އަތްގޮށީގެ މިންވަރެވެ.
والواجب في ذلك العشر إذا كانت النخيل والزروع تسقى بلا كلفة كالأمطار والأنهار والعيون الجارية ونحو ذلك.,އަދި އޭގައި ވާޖިބުވަނީ ދިހަބައިކުޅަ އެއްބައެވެ. އެއީ ވާރެއާއި، ކޯރުތަކާއި، ދެމިގެންދާ ފެންއާރުތައް ފަދަ އެއްވެސް ތަކުލީފެއް އުފުލުމެއް ނުވާ ތަކެތިން އެ ކަދުރު ރުއްތަކަށާއި ގޮވާމަށް (އޭގެ ޒާތުގައި) ފެން ލިބޭނަމައެވެ.
أما إذا كانت تسقى بمؤونة وكلفة: كالسواني، والمكائن الرافعة للماء، ونحو ذلك فإن الواجب فيها نصف العشر كما صح الحديث بذلك عن رسول الله ﷺ.,އެކަމަކު، ތަކުލީފު އުފުލުމާއި ބުރައާއެކު ފެންދީގެން ބަލަހައްޓާ ތަކެތިނަމަ، މިސާލަކަށް ޖަނަވާރު ބޭނުންކޮށްގެންނާއި ފެން ނަގާ މެޝިންތައް ފަދަ ވަސީލަތްތައް މެދުވެރިކޮށް ފެންދޭނަމަ، އެއިން ނެރުން ވާޖިބުވާނީ ދިހަބައިކުޅަ އެއްބައިގެ ދެބައިކުޅަ އެއްބައެވެ. އެއީ ﷲ ގެ ރަސޫލު ﷺ ގެ އަރިހުން އެގޮތަށް ޙަދީޘް ޞައްޙަވެގެންވާ ފަދައިންނެވެ.
وأما نصاب السائمة من الإبل والبقر والغنم، ففيه تفصيل مُبَيَّنٌ في الأحاديث الصحيحة عن رسول الله ﷺ، وفي استطاعة الراغب في معرفته سؤال أهل العلم عن ذلك، ولولا قصد الإيجاز لذكرناه لتمام الفائدة.,ހުއިހައްޕަން ފޮނުވޭ ޖަމަލާއި، ގެރިއާއި، ބަކަރީގެ ނިޞާބާމެދު ދަންނައޭ، ފަހެ އެކަމުގައި ﷲ ގެ ރަސޫލާ ﷺ ގެ އަރިހުން ވާރިދުވެފައިވާ ޞައްޙަ ޙަދީޘްތަކުގައި ބަޔާންވެގެންވާ ތަފްޞީލެއްވެއެވެ. އަދި އެކަން ދެނެގަތުމަށް އެދޭ މީހަކަށް، އެކަމާ ބެހޭގޮތުން ޢިލްމުވެރިންނާ ސުވާލުކުރުމުގެ ފުރުޞަތު އެބައޮތެވެ. އަދި ޚުލާޞާކޮށް ކުރުކުރުމުގެ ޤަޞްދުގައި ނޫންނަމަ، ފައިދާ ފުރިހަމަކުރުމަށްޓަކައި އެ ވާހަކަތައް އަހަރުމެން ގެނައީމުހެވެ.
وأما نصاب الفضة فمائة وأربعون مثقالًا، ومقداره بالدراهم العربية السعودية ستة وخمسون ريالًا.,ދެންފަހެ ރިހީގެ ނިޞާބަށް ބަލާއިރު: އެއީ ސަތޭކަ ސާޅީސް މިޘްޤާލެވެ. އަދި އޭގެ މިންވަރަކީ ސަޢޫދީ ޢަރަބިއްޔާގެ ދިރުހަމުން ފަންސާސް ހަ ރިޔާލެވެ.
ونصاب الذهب عشرون مثقالًا، ومقداره من الجنيهات السعودية أحد عشر جنيهًا وثلاثة أسباع الجنيه، وبالغرام اثنان وتسعون غرامًا والواجب فيهما ربع العشر على من ملك نصابًا منهما، أو من أحدهما، وحال عليه الحول.,ރަނުގެ ނިޞާބަކީ، ވިހި މިޘްޤާލެވެ. އަދި އޭގެ މިންވަރަކީ، ސަޢޫދީ ޖުނައިހުން އެގާރަ ޖުނައިހާއި، ޖުނައިހެއްގެ ހަތްބައިކުޅަ ތިންބައެވެ. އަދި ގުރާމުންނަމަ، އެއީ ނުވަދިހަ ދެ ގުރާމެވެ. އަދި އެ ދޭތިން (އެބަހީ: ރަނާއި ރިހިން)، ނުވަތަ އޭގެ ތެރެއިން އެކައްޗަކުން ނިޞާބެއް މިލްކުވެ، އެއަށް އަހަރު ފުރުނު މީހާގެ މައްޗަށް ވާޖިބުވަނީ، ދިހަބައިކުޅަ އެއްބައިގެ ހަތަރުބައިކުޅަ އެއްބައެވެ. (ސާޅީސްބައިކުޅަ އެއްބައެވެ.)
والربح تابع للأصل فلا يحتاج إلى حول جديد، كما أن نتاج السائمة تابع لأصله فلا يحتاج إلى حول جديد إذا كان أصله نصابًا.,އަދި (މުދަލުން އަންނަ) ފައިދާއަކީ، އޭގެ އަޞްލު މުދަލަށް ތަބަޢަވާ އެއްޗެކެވެ. އެހެންކަމުން އެއަށް އަލަށް އަހަރެއް ގުނައިގެން ހަމަކުރާކަށް ނުޖެހެއެވެ. އެއީ ހުއިހައްޕަން ދޫކޮށްލެވޭ ޖަނަވާރުގެ އަޞްލު ނިޞާބު ހަމަވެފައިވާނަމަ، އޭގެ ދަރި އެ އަޞްލަށް ތަބަޢަވާތީ އެއަށް އަލަށް އަހަރެއް ހަމަވާން ނުޖެހޭ ފަދައިންނެވެ.
وفي حكم الذهب والفضة الأوراق النقدية التي يتعامل بها الناس اليوم، سواء سُمِّيَتْ درهمًا، أو دينارًا، أو دولارًا، أو غير ذلك من الأسماء، إذا بلغت قيمتها نصاب الفضة أو الذهب وحال عليها الحول وجبت فيها الزكاة.,މިއަދު މީސްތަކުން މުޢާމަލާތްކުރާ ކަރުދާސް ފައިސާވެސްވަނީ، ރަނާއި ރިހީގެ ޙުކުމުގައެވެ. އެއަށް ދިރުހަމޭ، ނުވަތަ ދީނާރޭ، ނުވަތަ ޑޮލަރޭ، ނުވަތަ އެނޫންވެސް ނަމެއް ކިޔުނު ކަމުގައިވިޔަސްމެއެވެ. އޭގެ އަގު ރިހީގެ ނުވަތަ ރަނުގެ ނިޞާބަށް ފޯރައި، އަދި އެއަށް އަހަރުވެއްޖެނަމަ، އެއިން ޒަކާތް ނެރުން ވާޖިބުވެއެވެ.
ويلتحق بالنقود حُليُّ النساء من الذهب أو الفضة خاصة إذا بلغت النصاب وحال عليها الحول، فإن فيها الزكاة وإن كانت مُعدَّة للاستعمال أو العارية في أصح قولي العلماء؛ لعموم قول النبي ﷺ:,އަދި ފައިސާގެ ޙުކުމުގައި އަންހެނުންގެ ރަނާއި ރިހީގެ ގަހަނާވެސް ހިމެނެއެވެ. އެތަކެތި ނިޞާބަށް ފޯރައި، އޭގެ މައްޗަށް އަހަރު ފާއިތުވެއްޖެނަމަ، ޢިލްމުވެރިންގެ ދެ ބަސްފުޅުގެ ތެރެއިން އެންމެ ޞައްޙަ ބަސްފުޅުގައިވާ ގޮތުން، އެއީ އަޅައިއުޅުމަށް ނުވަތަ ބޭނުންކޮށްލާން ދިނުމަށް ތައްޔާރުކޮށްފައިވާ ތަކެތި ކަމުގައި ވީނަމަވެސް، އޭގައި ޒަކާތް ވާޖިބުވެއެވެ. އެއީ ނަބީ ﷺ ގެ ޢާއްމު ބަސްފުޅަށްޓަކައެވެ:
