wordAR,wordDV,wordEN,meanAR,meanDV,meanEN
البطارية معطلة,ބެޓެރީ ބާރުދެރަވުން,Battery Down,,,
إِذاعَة، إِذَاعِيّ، إِرسال، أَذاع، أَذَع، بَثّ، برنامج، تلفزيونيّ، ذِيع، مُنبَثّ,އަޑުފެތުރުން,Broadcast,,,
تكوين الدم والجهاز الليمفاوي,ލޭ އުފައްދާ ނިޒާމާއި ލިންފާބެހޭ ނިޒާމު,Blood Forming And Lymphatic System,,,
الخزانة المُرَفَّفَة؛ تَخْت: تَخْت: خِزَانَة؛ خزانة ذات رفوف؛ خزانة صغيرة للملابس؛ دولاب؛ صوان,ކަފޭރާ,Cupboard,,,
اِتّفَاق، اِتّفاقِيّة، اِنقَبَض، إصر، أَزَح، خِطبة، شَنَّج، عَقد، عَهد، قَبَالَة، قَفِع، كُونتراتو، مُعَاهَدَة، مُقَاوَلَة، مَوثِق,އެއްބަސްވުން,Contract,,,
منضدة بيع؛ مُوازِن؛ نضد عد اد؛ نضدطاولة البيع؛ واجهة الاستقبال الأمامية؛ يواجه/ يقاوم,ކޮށިގަނޑު,Counter,,,
مُنَسِّق,ވިލީރެސްކުރާމީހާ / ވިލަރެސްވެރިޔާ,Coordinator,,,
حامِل، حامِلَة، شاحِن، مفرِّغ، ناقِل، ناقلة,ދުވާމަގު,Conveyor,,,
مانع حمل؛ منع الحبل,ދަރިމައި ވިޔަނުދޭ (ފަރުވާ) / ދަރިމައިވިޔަ ނުދިނުން,Contraception,,,
اِجتِماع، جَلسَة، جماعة، جمعية، حَشد، سجن، كُلّيّة، مَجلِس، مَجمَع، مَدرَسَة، هَيئَة,ކޮލެޖު,College,,,
منسق الدورة,ކޯހުގެ ވިލަރެސްވެރިޔާ,Course Coordinator,,,
نقطة الائتمان,އަރަނި ޕޮއިންޓު,Credit Point,,,
حد وقت الائتمان,އަރަނި ގުނާ މުއްދަތު,Credit Time Limit,,,
متطلب,އެކުވި މާއްދާ,Corequisite,,,
الإرشاد والتوجيه,މަޝްވަރާޔާއެކު ލަފާދީގެން މަގުދެއްކުން,Counseling and Guidance,,,
بناء القدرة؛ تطوير القدرات,ޤާބިލުކަން އިތުރުކުރުން / އެކަށޭނަކަން އިތުރުކުރުން,Capacity Development,,,
التخطيط للطوارىء؛ تخطيط الطوارئ؛ تخطيط للطوارئ؛ خطة للطوارئ,ބަދީލީ ރޭވުން,Contingency Planning,,,
القدرة على المواجهة؛ قدرة المواجهة,ބަރުދާސްތީ ޤާބިލުކަން,Coping Capacity,,,
إدارة مخاطر الكوارث التصحيحية,ކާރިސީ ހިރާސް ކުޑަކުރުމުގެ ހަރަކާތް ބެލެހެއްޓުން / ކާރިސީ ރިސްކު ކުޑަކުރުމުގެ ހަރަކާތް ބެލެހެއްޓުން,Corrective Disaster Risk Management,,,
مرفق حساس، مرفق حرج,ލާޒިމު ވަސީލަތްތައް,Critical Facility,,,
اختبار القبول,ވަނަމަށްދޭ އިމްތިޙާނު,Admission Test,,,
مبنى سكني,މީހުން ދިރިއުޅޭ ބައެއް,Accommodation Block,,,
تَثمِين، تَخمِين، تَقدِير، تَقوِيم، تَقيِيم، ثَمَّن، حَزَر، خَرَص، خَمَّن، قَدَّر,އަންދާސީ ހިސާބު,Estimate,,,
بطاقة إثبات شخصية / تحقيق هوية؛ بطاقة تحقيق الشخصية؛ بطاقة تحقيق هوية؛ بطاقة / تذكرة / هوية؛ بطاقة شخصية؛ بطاقة هوية بطاقة إثبات الشخصية؛ تحقيق هوية؛ تَذْكِرَةُ نُفُوس؛ تَذْكِرَةُ هُوِيّة,ކާކުކަން އަންގައިދޭ ކާޑު,"Identity Card, ID Card",,,
اِستَخدَم، اِشتغل، اِعتَمَل، بَضَع، شَغَّل,ހިންގާ/ދުއްވާ,Operate,,,
مشروع التعليم والتدريب,މީހުންބިނާކުރުމާއި، ތަޢުލީމު ކުރިއެރުވުމާ ބެހޭ މަޝްރޫޢު,Education And Training Project,,,
تحديث؛ ترقية؛ تعلية مستوى الجودة؛ منحدر صاعد؛ يحسِّن النَّسل؛ يرفع السعر؛ يرقى؛ يرقي؛ يطور/ يحسن,ފެންވަރު މަތިކުރުން,Upgrade,,,
إسبِرتُو، حُمَيَّا، خَمر، خُمُور، سبِرتُو، سبِيرتُو، غَول، كُحُول، مُسكِر,ބަނގުއާވި,Alcohol,,,
مكتب التوظيف؛ مكتب تشغيل؛ وكالات التوظيف؛ وكالة الاستخدام؛ وكالة توظيف,ވަޒީފާ އޭޖެންސީ,Employment Agency,,,
جدول متغير؛ درج؛ سلم صعاد؛ سلم ميكانيكي؛ مرقاة متحركة؛ مصعد؛ مؤشر تصعيد؛ مؤشر تصفية,ކަރަންޓު ސިޑި,Escalator,,,
اِنتِفاخ، تَجسِيم، تَضَخّم، تَضخِيم، تَكبِير، تَنَفُّخ، تَوَرُّم، غرور، نُفّاخ، نَفخ، نَفخَة,ލާދަ,Inflation,,,
الولادة الجانبية,މަގަތުފާލަން,Alongside Birth,,,
صالة الوصول,އަރާގިމަތަ,Arrival Terminal,,,
طب الروائح؛ مساج بالعطور,ހުވަނދުފަރުވާ,Aromatherapy,,,
الْإِيذَاء الْمُتَتَابِع الْخَفِيّ؛ الوَخْزُ الإِبْرِيّ؛ الوخز بالابرة؛ تَأْبِير؛ علاج بالإبر؛ وخز بالإبر الصينية؛ وشم,ކަށީފަރުވާ,Acupuncture,,,
الإجهاض؛ المشروع الجَهيض؛ إجهاش إسقاط (الحمل)؛ إجھاض؛ إسْقاطُ الجَنِين؛ إسقاط الحمل؛ إسقاط: إجهاض؛ إنهاء؛ جهيض,ހައްޔަރުން ނެއްޓުވުން,Abortion,,,
المرشد الأكاديمي,ދިރާސީ މުޝީރު,Academic Advisor,,,
تَثمِين، تَخمِين، تَقدِير، تَقوِيم، تَقيِيم، حَزر، ضريبة، مَحزَرَة,ވަޒީންކުރުން / ދަސްވަރުބެލުން,Assessment,,,
أَجر، أَحكَام، أَنوال، تَبتِيت، تَنعِيم، ثَواب، جائزة، جَزاء، حُكم، رَسَّى، رَسِّي، قَرَار، قَضَاء، مُكَافَأَة، مَنَح، نَول,ސަނަދު,Award,,,
طالب خارجي,ދުރުން އުނގެނޭ ދަރިވަރު,External Student,,,
طالب داخلي,ޚާޒިރީ ދަރިވަރު,Internal Student,,,
مكانة متقدمة، قبول الكلية انتائج عمل الطالب التى أحرزها,މަތީ ފުރުޞަތު,Advanced Standing,,,
اِختِيَارِيّ، اِنتخابي، انتقائيّ، إِرَادِيّ، تَخيِيرِيّ، خِيَارِيّ، طَوعِيّ، مُنتَخَب,ޚިޔާރީ މާއްދާ,Elective,,,
استثناء، إِبراء، إِعفاء، تَبرِئَة، حَصانة، حَلّ، مُعافاة,އިސްތިސްނާކުރުން,Exemption,,,
ماجستير الآداب؛ ماجستير أو أستاذ في الآداب؛ ماجستير في الآداب,އެމް.އޭ ފާސް,"MA, Master of Arts",,,
ماجستير العلوم؛ ماجستير في العلوم,އެމް.އެސް.ސީ ފާސް,"MSc, Master of Science",,,
الطالب الجامعي؛ لا متخرجى؛ متعلِّق باللّامتخرِّجين,ދަސްނިންމާ ދަރިވަރު / ފަސްވަނަ ދަރިވަރު,Undergraduate,,,
الغُدَدُ الصَّمَّاء,ހޯމޯން އުދައްދާގޮށްތައް,Endocrine Glands,,,
سائل قابل للإلتهاب,ހުޅުހިފާ ދިޔާތަކެތި,Inflammable Liquid,,,
غاز قابل للاشتعال؛ غاز لهوب,ހުޅުހިފާ ގޭސް,Inflammable Gas,,,
مادة صلبة قابلة للاشتعال,ހުޅުހިފާ ހަރުތަކެތި,Inflammable Solid,,,
أعد للنشر؛ تحرير؛ تعديل؛ تنقيح؛ حرر؛ طَبَعَ (الكِتابَ إلخ)؛ عدل؛ يحرر؛ يوَلِّف,ރާވައި ތައްޔާރުކުރުން,Edit,,,
المهاجرون,އާރަށްވެހިން,Immigrants,,,
محمية حيتان المحيط الهندي,ބޮޑުމަހަށް ރައްކާތެރި އިންޑިޔާ ކަނޑު,Indian Ocean Whale Sanctuary,,,
الملحق,އިތުރުބައި,Appendix (Book),,,
إِبَاحَة، إِجَازَة، إِعَانَة، إنقاص، بَدَلٌ، تَبَرّع، تَحلِيل، تَرخِيص، تسامح، تَسويغ، تفاوُت، جُعل، حَسم، حِصّة، خَصم، زِيَادَة، سَمَاح، طَرح، عِلاَوَة، عِوَض، مُخَصَّص، مُراعاة، مُسَاعَدَة، مُسَاهَمَة، مُقَابِل، مِنحَة، نصيب,އެހީ,Allowance,,,
