bodyAR,bodyDV
رواه الإمام أحمد ، والطبراني ، والبيهقي ، عن محمود بن لبيد الأنصاري -رضي الله عنه- بإسناد جيد ، ورواه الطبراني بأسانيد جيدة ، عن محمود بن لبيد ، عن رافع بن خديج ، عن النبي -صلى الله عليه وسلم- .,"ރިވާކުރެއްވީ الإمام أحمد އާއި الطبراني އާއި البيهقي އެވެ. އެއީ محمود بن لبيد الأنصاري -رضي الله عنه- ގެ ކިބައިންނެވެ. އޭގެ ސަނަދު ރަނގަޅެވެ. 
 އަދި الطبراني ރަނގަޅު ސަނަދުތަކަކުން محمود بن لبيد ގެކިބައިން رافع بن خديج ގެ ކިބައިން نبي އާ صلى الله عليه وسلم ގެ އަރިހުން ރިވާކުރައްވާފައިވެއެވެ."
[2] أخرجه الإمام أحمد (5/ 428)، والطبراني في الكبير (4/ 338)، والبيهقي في الشعب (14/ 355)، قال في مجمع الزوائد (1/ 121) رواه أحمد ورجاله رجال الصحيح.,[2] ނެރުއްވީ އިމާމް އަޙްމަދު (5/ 428)، އަދި އައްޠަބަރާނީ އަލްމުޢުޖަމުލް ކަބީރުގައި (4/ 338)، އަދި އަލްބައިހަޤީ އައްޝުޢަބުގައި (14/ 355)،އަދި މަޖްމަޢުއް ޒަވާއިދުގައި ވިދާޅުވިއެވެ: (1/ 121) ރިވާކުރެއްވީ އަޙްމަދެވެ. އަދި އެކަލޭގެފާނުގެ ސަނަދުގެ ރިޖާލުންނަކީ ޞަޙީޙުގެ ރާވީންނެވެ.
وقوله -صلى الله عليه وسلم-,އަދި އެކަލޭގެފާނު صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ ގެ ބަސްފުޅު:
(من حلف بشيء دون الله ففد أشرك) [3],"""ﷲ ފިޔަވައި އެހެން އެއްޗެއް ގަންދީ ހުވާކޮށްފި މީހާ ފަހެ ހަމަކަށަވަރުން ޝިރުކު ކޮށްފިއެވެ."" [3]"
رواه الإمام أحمد بإسناد صحيح ، عن عمر بن الخطاب -رضي الله عنه-,ރިވާކުރެއްވީ الإمام أحمد ޞައްހަ ސަނަދަކުން، عمر بن الخطاب -رضي الله عنه- ގެ ކިބައިންނެވެ.
ورواه أبو داود ، والترمذي بإسناد صحيح ، من حديث ابن عمر رضي الله عنهما ، عن النبي -صلى الله عليه وسلم- أنه قال :,އަދި أبو داود އާއި الترمذي ޞައްޙަ ސަނަދަކުން، އިބްނު ޢުމަރު رضي الله عنهما ގެ އަރިހުން، ނަބިއްޔާ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ ޙަދީޘްކުރެއްވިކަމަށް ރިވާކުރެއްވިއެވެ:
(من حلف بغير الله فقد كفر أو أشرك) [4],"""الله ނޫން ފަރާތެއް ގަންދީ ހުވައިކޮށްފި މީހާ ފަހެ ހަމަކަށަވަރުން އޭނާ ކާފަރު ވެއްޖެއެވެ. ނުވަތަ ޝިރުކު ކޮށްފިއެވެ."" [4]"
وقوله -صلى الله عليه وسلم-,އަދި އެކަލޭގެފާނު صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ ގެ މި ބަސްފުޅެވެ:
(لا تقولوا : ما شاء الله وشاء فلان ، ولكن قولوا : ما شاء الله ثم شاء فلان) [5],"""ތިޔަބައި މީހުން ނުބުނާށެވެ. އެއީ ﷲ އެދިވޮޑިގަތް ގޮތެވެ. އަދި މިވެނި މީހަކު އެދުނުގޮތެވެ. ނަމަވެސް ތިޔަބައިމީހުން ބުނާށެވެ. އެއީ ﷲ އެދިވޮޑިގަތް ގޮތެވެ. ދެން މިވެނި މީހަކު އެދުނު ގޮތެވެ."" [5]"
أخرجه أبو داود بإسناد صحيح ، عن حذيفة بن اليمان رضي الله عنه .,ނެރުއްވީ أبو داود ޞައްޙަ ސަނަދަކުން ، حذيفة بن اليمان رضي الله عنه ގެ އަރިހުންނެވެ.
[3] أخرجه الإمام أحمد (1/ 47),[3] ނެރުއްވީ އިމާމު އަޙުމަދު (1/ 47) ގައިއެވެ.
[4] أخرجه أبو داود، برقم (3251) والترمذي، برقم (1535).,[4] މި ޙަދީޘް ނެރުއްވީ އަބޫ ދާވޫދު ނަންބަރު (3251) ގައި، އަދި އައްތިރްމިޛީ ނަންބަރު (1535) ގައިއެވެ.
[5] أخرجه أبو داود، برقم (4980)، وأحمد (5/ 384).,[5] މި ޙަދީޘް ނެރުއްވީ އަބޫ ދާވޫދު ނަންބަރު (4980)ގައި، އަދި އަޙްމަދު (5/ 384) ގައިއެވެ.
وهذا النوع لا يوجب الردة ، ولا يوجب الخلود في النار ، ولكنه ينافي كمال التوحيد الواجب .,ޝިރުކުގެ މި ބާވަތުން މީހާ މިއްލަތުން ބޭރެއް ނުވެއެވެ. އަދި ނަރަކައިގައި ދެމިއޮތުން ވާޖިބެއް ނުވެއެވެ. ނަމަވެސް އެމީހެއްގެ ކިބައިން ތައުޙީދުގެ ވާޖިބުވާ ފުރިހަމަކަން ނަފީކޮށްލައެވެ.
النوع الثالث: الشرك الخفي؛ ودليله قول النبي -صلى الله عليه وسلم-:,ތިންވަނަ ވައްތަރު: އެއީ ވަންހަނާވެގެންވާ (ނުވަތަ ފޮރުވިފައިވާ) ޝިރުކެވެ. ފަހެ އޭގެ ދަލީލަކީ ނަބިއްޔާ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ ގެ މިބަސްފުޅެވެ:
